company_name,location,investor_type,description,domain,industries
151 Locust,"Avondale Estates, Georgia, United States",Incubator,151 Locust is a business incubator and coworking facility in Avondale Estates.,151locust.com,
Telfair Capital,"Atlanta, Georgia, United States",Venture Capital,"Telfair Capital is dedicated investing through the purchase of receivables in retail, hospitality, distribution, and retail services.",telfaircapital.com,Finance
Healey Weatherholtz Properties,"Atlanta, Georgia, United States",Private Equity Firm,HWP is a real estate development and investment management firm that invests and develops buildings for local communities.,hwproperties.com,"Real Estate, Real Estate Investment, Residential"
Pritzker Group Venture Capital,"Chicago, Illinois, United States",Venture Capital,Pritzker Group Venture Capital is a trusted partner helping entrepreneurs build market-leading technology companies,pritzkergroup.com,"Finance, Financial Services, Venture Capital"
Serra Ventures,"Champaign, Illinois, United States",Micro VC,Serra Ventures is an early stage venture capital firm investing in technology companies in emerging Midwest technology centers,serraventures.com,"Agriculture, Information Technology, Venture Capital"
Lightbank,"Chicago, Illinois, United States",Venture Capital,"Lightbank VC is a venture fund based out of Chicago investing at the earliest stage across consumer, enterprise, fin-tech and more.",lightbank.com,"EdTech, Enterprise Software, FinTech, Human Resources, Internet, Local, Marketplace, Mobile, Small and Medium Businesses"
Chicago Ventures,"Chicago, Illinois, United States",Venture Capital,"An early-stage venture capital fund, investing in exceptional entrepreneurs in the Central US.",chicagoventures.com,"Finance, Financial Services, Software, Venture Capital"
Hyde Park Venture Partners,"Chicago, Illinois, United States",Venture Capital,"Hyde Park Venture Partners (HPVP) is an early-stage venture capital firm focused on high-growth, mid-continent technology startups.",hydeparkvp.com,"Enterprise Software, Financial Services, Venture Capital"
Second Century Ventures,"Chicago, Illinois, United States","Corporate Venture Capital, Venture Capital, Venture Debt",Second Century Ventures (SCV) is a venture capital fund focused on promoting innovation in the real estate industry.,secondcenturyventures.com,"Commercial Real Estate, Financial Services, Home Services, Insurance, Property Management, Real Estate, Real Estate Investment, SaaS, Smart Home, Venture Capital"
OCA Ventures,"Chicago, Illinois, United States",Venture Capital,"OCA Ventures is a venture capital firm focused on equity investments in companies with dramatic growth potential, primarily in technology",ocaventures.com,"Angel Investment, Finance, Venture Capital"
Techstars Chicago,"Chicago, Illinois, United States",Accelerator,"Techstars Chicago conducts programs for startups to connect with investors, mentors, and entrepreneurs.",techstars.com,"Consulting, Financial Services, Venture Capital"
M25,"Chicago, Illinois, United States",Micro VC,"M25 is the most active early-stage VC firm investing in Midwest headquartered startups (14 states, 100+ companies) across various industries",m25vc.com,"Consumer, Enterprise, Enterprise Software, Finance, Health Care, Software, Venture Capital"
Promus Ventures,"Chicago, Illinois, United States",Micro VC,Investing in early-stage deep-tech software/hardware companies run by visionary and tenacious founding teams.,promusventures.com,"Aerospace, AgTech, Artificial Intelligence, FinTech, Health Care, Machine Learning, Robotics, Software, Space Travel, Venture Capital"
Jump Capital,"Chicago, Illinois, United States",Venture Capital,Jump Capital is a venture capital firm specializing in Series A & B expansion stage investments in technology and software.,jumpcap.com,"Enterprise Software, Finance, Financial Services, IT Infrastructure, Venture Capital"
Healthbox,"Chicago, Illinois, United States",Accelerator,"Healthbox is a an innovation consulting and fund management services firm, helping organization build and sustain innovation strategies.",healthbox.com,"Health Care, Incubators, Venture Capital"
Apex Venture Partners,"Chicago, Illinois, United States",Venture Capital,"Apex Venture Partners, established in 1987, has six funds and more than $600 million under management.",apexvc.com,"Finance, Information Technology, Venture Capital"
IrishAngels,"Chicago, Illinois, United States",Angel Group,IrishAngels is a Chicago-based angel investing network affiliated with the University of Notre Dame.,irishangels.com,Venture Capital
REACH,"Chicago, Illinois, United States",Accelerator,"REACH is an accelerator owned and operated by Second Century Ventures, the investment arm of the National Association of Realtors¬Ѓ.",narreach.com,"Artificial Intelligence, Commercial Real Estate, Incubators, Property Insurance, Property Management, Real Estate, Rental Property, Residential, SaaS"
Valor Equity Partners,"Chicago, Illinois, United States",Private Equity Firm,Valor Equity Partners is an operational growth investment firm focused on high growth companies across various stages of development.,valorep.com,Financial Services
